Date - MST,Measure Names,Measure Values
12/1/2016 12:00:00 AM,Avg. AIL,10177.108870968
11/1/2016 12:00:00 AM,Avg. AIL,9543.201388889
10/1/2016 12:00:00 AM,Avg. AIL,9092.313172043
9/1/2016 12:00:00 AM,Avg. AIL,8740.705555556
8/1/2016 12:00:00 AM,Avg. AIL,8976.002688172
7/1/2016 12:00:00 AM,Avg. AIL,8843.294354839
6/1/2016 12:00:00 AM,Avg. AIL,8370.473611111
5/1/2016 12:00:00 AM,Avg. AIL,7854.275537634
4/1/2016 12:00:00 AM,Avg. AIL,8474.831944444
3/1/2016 12:00:00 AM,Avg. AIL,9200.006720430
2/1/2016 12:00:00 AM,Avg. AIL,9543.274425287
1/1/2016 12:00:00 AM,Avg. AIL,9868.826612903
12/1/2015 12:00:00 AM,Avg. AIL,9834.287634409
11/1/2015 12:00:00 AM,Avg. AIL,9460.252777778
10/1/2015 12:00:00 AM,Avg. AIL,8935.708333333
9/1/2015 12:00:00 AM,Avg. AIL,8669.772222222
8/1/2015 12:00:00 AM,Avg. AIL,9099.536290323
7/1/2015 12:00:00 AM,Avg. AIL,9163.252688172
6/1/2015 12:00:00 AM,Avg. AIL,8784.319444444
5/1/2015 12:00:00 AM,Avg. AIL,8377.823924731
4/1/2015 12:00:00 AM,Avg. AIL,8709.834722222
3/1/2015 12:00:00 AM,Avg. AIL,9347.393817204
2/1/2015 12:00:00 AM,Avg. AIL,9764.227678571
1/1/2015 12:00:00 AM,Avg. AIL,9819.862903226
